,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,accessom2.nml -> date_manager_nml -> forcing_end_date,ice/cice_in.nml -> icefields_nml -> f_aicen,ice/cice_in.nml -> icefields_nml -> f_vicen,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> restart,ice/cice_in.nml -> setup_nml -> runtype
,21,1963-04-01T00:00:00,1963-07-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output021,79.167,,,Andrew Kiss,2020-06-13T02:22:38,6898536,0,[],normal,29465.28,2.8419444444444446,118265.86285714284,11.406815476190477,0.015555555555555323,247477.41732283466,2.092551572737186,3573.7599999997765,5184,4358,799,0.088,926.309293,3012.93,910.58,"[80, 75]",sectrobin,40,30,540,80,2,e99e0709a6d424c3da80a711b21f71166318eae6,2020-06-12 23:32:32 +1000,manifests/restart.yaml,['2020-06-12 23:32:32: Run 21'],540,2018-01-01T00:00:00,m,m,136080,True,continue
,22,1963-07-01T00:00:00,1963-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output022,79.437,,,Andrew Kiss,2020-06-13T05:18:20,6902008,0,[],normal,30199.68,2.912777777777778,119896.01217391306,11.564044384057972,0.015555555555555323,247510.18326693226,2.0643737750669366,3614.7199999997392,5184,4358,799,0.089,953.472706,3181.21,939.79,"[80, 75]",sectrobin,40,30,540,80,2,348f94be0a1d885fb7dadb0c30a1059200a2eb20,2020-06-13 02:23:55 +1000,manifests/restart.yaml,['2020-06-13 02:23:55: Run 22'],540,2018-01-01T00:00:00,m,m,142560,True,continue
,23,1963-10-01T00:00:00,1964-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output023,79.854,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/restart023,43.617,Andrew Kiss,2020-06-13T08:11:22,6907170,0,[],normal,29865.6,2.8805555555555555,118569.67826086956,11.436118659420291,0.0033333333333334103,248544.38836447697,2.096188435441692,3624.9599999999627,5184,4358,799,0.089,945.336849,3030.12,929.94,"[80, 75]",sectrobin,40,30,540,80,2,c2a6a4098da1606728415c55781c6a1097e00ab7,2020-06-13 05:18:57 +1000,manifests/restart.yaml,['2020-06-13 05:18:57: Run 23'],540,2018-01-01T00:00:00,m,m,149040,True,continue
,24,1964-01-01T00:00:00,1964-04-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output024,79.239,,,Andrew Kiss,2020-06-13T11:01:56,6908957,0,[],normal,29422.08,2.8377777777777777,118092.46945054946,11.390091575091574,0.004999999999999893,248394.3435606801,2.1033885117009414,3655.679999999702,5184,4358,799,0.09,939.616385,3029.07,924.99,"[80, 75]",sectrobin,40,30,540,80,2,854ed1fb027ff2cbdde6b647116dc816e47e52e4,2020-06-13 08:12:06 +1000,manifests/restart.yaml,['2020-06-13 08:12:06: Run 24'],540,2018-01-01T00:00:00,m,m,155520,True,continue
,25,1964-04-01T00:00:00,1964-07-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output025,79.11,,,Andrew Kiss,2020-06-13T13:51:57,6910204,0,[],normal,29295.36,2.8255555555555554,117583.84879120879,11.341034798534798,0.008055555555555927,248124.60582295852,2.110192925080623,3584.0,5184,4358,799,0.086,899.856199,3074.77,882.52,"[80, 75]",sectrobin,40,30,540,80,2,e026619b18854f58a4c6491aa425221dddf034bf,2020-06-13 11:02:45 +1000,manifests/restart.yaml,['2020-06-13 11:02:45: Run 25'],540,2018-01-01T00:00:00,m,m,162000,True,continue
,26,1964-07-01T00:00:00,1964-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output026,79.425,,,Andrew Kiss,2020-06-13T16:45:41,6914756,0,[],normal,29957.76,2.8894444444444445,118935.56347826087,11.471408514492754,0.006111111111111178,248306.8365310821,2.087742549573642,3645.44000000041,5184,4358,799,0.088,940.491243,3088.25,925.36,"[80, 75]",sectrobin,40,30,540,80,2,f1a2bec656be74adb7cffe1660a5fce739e77be4,2020-06-13 13:52:44 +1000,manifests/restart.yaml,['2020-06-13 13:52:44: Run 26'],540,2018-01-01T00:00:00,m,m,168480,True,continue
,27,1964-10-01T00:00:00,1965-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output027,79.892,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/restart027,43.647,Andrew Kiss,2020-06-13T19:38:48,6917923,0,[],normal,29808.0,2.875,118341.00000000001,11.414062500000002,0.010277777777777608,247945.62433811495,2.0951793912347787,3614.7199999997392,5184,4358,799,0.088,934.229112,2983.48,916.75,"[80, 75]",sectrobin,40,30,540,80,2,608232176fd34ee32249a8eaff23769a227ed519,2020-06-13 16:46:40 +1000,manifests/restart.yaml,['2020-06-13 16:46:40: Run 27'],540,2018-01-01T00:00:00,m,m,174960,True,continue
,28,1965-01-01T00:00:00,1965-04-01T00:00:00,"[0, 3, 0, 0]",90.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output028,79.061,,,Andrew Kiss,2020-06-13T22:27:30,6921838,0,[],normal,29128.32,2.8094444444444444,118212.432,11.401662037037038,0.0022222222222221255,248635.33372851217,2.10329260232555,3624.9599999999627,5184,4358,799,0.085,894.172318,3103.66,880.92,"[80, 75]",sectrobin,40,30,540,80,2,e85ad922fb615912bebf3adb0d196f5344cca64b,2020-06-13 19:39:24 +1000,manifests/restart.yaml,['2020-06-13 19:39:23: Run 28'],540,2018-01-01T00:00:00,m,m,181440,True,continue
,29,1965-04-01T00:00:00,1965-07-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output029,79.227,,,Andrew Kiss,2020-06-14T01:16:06,6923428,0,[],normal,29085.12,2.805277777777778,116740.00087912087,11.259645146520146,0.004722222222222072,248413.83629893235,2.1279238857994693,3604.480000000447,5184,4358,799,0.085,881.949494,3017.7,864.63,"[80, 75]",sectrobin,40,30,540,80,2,95fc49543a33b46626db3a6b1ba0bd5b88fcea86,2020-06-13 22:28:11 +1000,manifests/restart.yaml,['2020-06-13 22:28:11: Run 29'],540,2018-01-01T00:00:00,m,m,187920,True,continue
,30,1965-07-01T00:00:00,1965-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output030,79.454,,,Andrew Kiss,2020-06-14T04:09:57,6928207,0,[],normal,29995.2,2.8930555555555557,119084.2043478261,11.485745018115944,0.004444444444444251,248450.31924072478,2.086341514404721,3584.0,5184,4358,799,0.089,951.1074,3033.22,932.12,"[80, 75]",sectrobin,40,30,540,80,2,8eccba4750ceafe232eca9e8242e3a5f58959e23,2020-06-14 01:16:43 +1000,manifests/restart.yaml,['2020-06-14 01:16:43: Run 30'],540,2018-01-01T00:00:00,m,m,194400,True,continue
