"Summary report generated by run_summary.py, https://github.com/aekiss/run_summary"
report generated:,2020-12-17T10:15:44+11:00
control directory path:,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,git branch:,01deg_jra55v140_iaf_cycle3
output path:,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3
,Job Id,Run completion date,Exit Status,Timeout,Walltime Requested (hr),Walltime Used (hr),qsub_flags,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Failed jobs,Failed jobids,Queue,Service Units,SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages
,13644828,2020-11-19T15:36:09,1,False,5.0,0.027777777777777776,,503,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,282.67,,,,,,211.13999999966472,5088,,,,,,,,,,,,,,69bcd5f7703567e732402fab1f2f10cc0f21c572,2020-11-19 15:35:43 +1100,,
,13644898,2020-11-19T20:23:44,0,False,5.0,4.7877777777777775,-W umask=027,503,1961-10-01T00:00:00,1962-01-01T00:00:00,,92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output503,470.697,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart503,58.499,Andrew Kiss,,,normal,48720.43,,,,,,5601.280000000261,5088,,,0.121,2100.188085,8261.66,2068.84,"[80, 75]",sectrobin,40,30,,80,2,69bcd5f7703567e732402fab1f2f10cc0f21c572,2020-11-19 15:35:43 +1100,,
,13652538,2020-11-20T01:03:27,0,False,5.0,4.6561111111111115,-W umask=027,504,1962-01-01T00:00:00,1962-04-01T00:00:00,,90.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output504,469.727,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart504,95.585,Andrew Kiss,,,normal,47380.59,,,,,,5560.320000000298,5088,,,0.178,1735.93289,4617.81,1751.5,"[150, 100]",sectrobin,18,15,,80,2,32e68d1105ab11ffe2918d887328ff167f45c23f,2020-11-19 20:25:12 +1100,,
,13656810,2020-11-20T06:06:09,271,True,5.0,5.0325,,,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,51210.72,,,,,,5457.9199999999255,5088,,,,,,,,,,,,,,1ae1234462620735b7cc0d0501475b2b83a64dbb,2020-11-20 01:05:05 +1100,,
,13668453,2020-11-20T16:10:55,1,False,5.0,0.0011111111111111111,,,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,26.99,,,,,,0.11359374970197678,12144,,,,,,,,,,,,,,1f9e8af572791c5e6c99af2ebebb5d28b3637cd1,2020-11-20 16:04:39 +1100,,
,13668543,2020-11-20T16:23:25,1,False,5.0,0.0008333333333333334,,,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,20.24,,,,,,0.0810156250372529,12144,,,,,,,,,,,,,,1f9e8af572791c5e6c99af2ebebb5d28b3637cd1,2020-11-20 16:04:39 +1100,,
,13668759,2020-11-20T17:11:49,1,False,5.0,0.1025,,505,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,2489.52,,,,,,8560.639999999665,12144,,,,,,,,,,,,,,bb3b61a60ec2c7c71fb005d05f2d1aff42dbee01,2020-11-20 17:06:37 +1100,,
,13670098,2020-11-20T17:16:41,1,False,5.0,0.06555555555555556,,505,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,1592.21,,,,,,7925.7599999997765,12144,,,,,,,,,,,,,,bb3b61a60ec2c7c71fb005d05f2d1aff42dbee01,2020-11-20 17:06:37 +1100,,
,13670182,2020-11-20T17:53:11,271,False,5.0,0.5886111111111111,,,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,14296.19,,,,,,669.7199999997392,12144,,,,,,,,,,,,,,bb3b61a60ec2c7c71fb005d05f2d1aff42dbee01,2020-11-20 17:06:37 +1100,,
,13671083,2020-11-20T18:24:13,1,False,5.0,0.1213888888888889,,505,,,,,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,,,,,Andrew Kiss,,,,2948.29,,,,,,8325.120000000112,12144,,,,,,,,,,,,,,d757a7f10eba9f80968dbff82a3154a59b8f38d8,2020-11-20 18:18:38 +1100,,
